0,2096,2022,70,33
1,22,108,50,28
2,748,704,80,16
3,920,1224,80,49
4,2167,1839,95,45
5,1750,1761,60,12
6,174,260,95,30
7,2480,2628,60,48
8,955,701,95,41
9,1774,2144,55,31
10,933,946,75,13
11,752,665,95,25
12,613,624,95,9
13,1852,1712,60,30
14,236,23,70,30
15,4290,4607,75,37
16,605,672,100,11
17,707,997,50,25
18,4811,4626,80,19
19,3019,2616,75,9
20,828,612,70,37
21,299,169,95,5
22,1763,2060,55,26
23,929,636,65,39
24,4957,4685,65,43
25,2634,2677,55,40
26,2414,2119,65,3
27,223,198,50,21
28,2122,2179,75,48
29,4698,4641,60,41
30,29,66,75,20
31,280,196,95,27
32,999,1230,95,13
33,669,601,65,46
34,1815,1834,75,46
35,2003,1856,100,12
36,1788,1826,60,5
37,2668,2653,85,11
38,1745,1720,100,28
39,675,855,75,26
40,1800,2072,70,40
41,1862,1886,80,30
42,926,743,90,7
43,38,286,65,23
44,4694,4816,85,21
45,2191,1790,70,39
46,2411,2616,95,23
47,3856,3896,70,45
48,2671,3070,80,34
49,2010,2053,80,43
50,4848,4877,55,11
51,298,195,55,13
52,1895,2109,75,20
53,931,659,75,48
54,2066,1791,75,30
55,1849,1715,80,46
56,1226,979,100,8
57,2414,2101,90,18
58,4919,4610,90,27
59,2684,2621,90,6
60,1208,1265,100,11
61,26,105,50,24
62,103,223,100,12
63,1719,1766,55,10
64,1713,2075,75,16
65,1290,924,50,31
66,777,884,55,23
67,971,1207,70,50
68,1764,2143,85,34
69,1846,1854,70,13
70,868,894,80,28
71,3051,2621,90,36
72,4985,4644,70,10
73,1803,2056,90,25
74,1800,1801,55,2
75,804,785,60,41
76,730,878,50,32
77,47,259,70,36
78,2679,2664,70,42
79,1771,2124,55,18
80,10,11,75,40
81,642,638,60,32
82,2452,2177,65,40
83,820,845,85,11
84,650,779,60,39
85,4835,4894,65,20
86,745,711,55,33
87,203,16,55,45
88,248,168,85,33
89,4903,4963,60,2
90,2031,2159,70,6
91,2401,2053,95,25
92,3058,3007,55,10
93,2633,2617,85,19
94,3057,3050,100,20
95,1214,1207,100,24
96,2695,2440,55,43
97,4828,4917,60,12
98,248,41,55,40
99,700,736,65,29
100,664,874,80,50
101,841,916,55,17
102,2,121,70,50
103,4884,4873,60,34
104,835,670,85,35
105,2083,2102,95,4
106,193,278,60,20
107,4636,4889,50,23
108,2076,2402,85,8
109,649,725,60,22
110,136,171,80,47
111,2110,1737,75,12
112,4269,4616,80,2
113,950,878,60,48
114,2085,1848,95,3
115,296,682,85,38
116,851,919,65,38
117,1201,988,50,18
118,1786,1793,95,44
119,2048,2195,80,42
120,1219,1299,70,21
121,981,731,55,17
122,46,6,90,38
123,1201,991,90,15
124,941,727,70,12
125,784,704,55,18
126,2075,2008,70,2
127,2041,2025,60,30
128,2436,2142,100,17
129,22,95,85,21
130,1206,1286,85,8
131,1261,1243,50,7
132,620,209,85,35
133,976,959,85,22
134,180,104,95,13
135,1779,2164,85,7
136,1893,2168,60,34
137,1775,1787,85,14
138,860,765,80,31
139,1847,1835,65,49
140,2693,3089,100,23
141,965,850,95,21
142,1736,2008,55,27
143,2691,2685,100,45
144,1884,1842,90,50
145,2686,2690,80,9
146,1882,1800,75,2
147,700,827,95,40
148,961,606,65,14
149,819,840,55,12
150,2481,2670,95,48
151,3058,3015,75,35
152,4632,4878,70,35
153,1753,1782,60,24
154,4986,4689,70,43
155,871,946,100,47
156,122,12,90,7
157,110,32,70,45
158,816,732,55,9
159,643,267,85,40
160,1730,1741,95,37
161,2196,2414,85,42
162,1729,2091,85,9
163,211,192,100,37
164,4820,4851,70,22
165,985,960,85,11
166,4228,3893,70,3
167,4951,4816,85,9
168,791,856,50,11
169,2138,2173,85,27
170,2097,2455,90,13
171,2404,2154,85,21
172,8,96,85,41
173,2131,1842,65,22
174,2440,2630,50,43
175,3059,3026,55,35
176,656,620,60,28
177,969,1235,80,37
178,802,778,80,25
179,1812,1892,55,3
180,209,231,50,36
181,145,14,85,35
182,961,966,60,7
183,753,982,90,14
184,1826,2178,75,23
185,952,786,75,32
186,6,200,95,12
187,681,668,50,25
188,990,1253,55,40
189,3024,2653,85,7
190,1298,1258,70,14
191,886,1239,60,29
192,2075,2123,55,43
193,3842,3809,80,4
194,4816,4921,80,45
195,682,964,85,48
196,787,706,85,30
197,4929,4821,60,27
198,2669,2603,55,35
199,2487,2659,95,8
200,602,192,95,14
201,790,855,55,40
202,931,1219,65,4
203,3898,4232,70,5
204,4952,4829,90,10
205,685,666,90,50
206,867,891,95,24
207,3027,3047,65,37
208,1853,2195,60,29
209,4952,4941,95,44
210,125,249,50,46
211,3804,3881,90,12
212,2091,1872,75,18
213,772,606,75,50
214,1785,2018,100,48
215,4300,4220,85,10
216,4849,4693,75,2
217,969,777,55,27
218,969,779,60,49
219,916,968,85,14
220,2115,2196,60,10
221,2432,2141,55,6
222,3060,3062,50,45
223,4808,4626,85,38
224,1823,1781,85,27
225,1862,2044,90,30
226,4873,4867,70,50
227,897,635,80,22
228,2102,2488,90,31
229,2060,2424,100,43
230,782,680,55,8
231,1847,2034,75,26
232,3042,3054,65,21
233,4810,4626,85,48
234,1739,2075,70,49
235,1828,2105,95,28
236,2182,1890,50,20
237,4912,4682,55,28
238,4881,4677,60,27
239,1783,2167,80,19
240,63,213,85,21
241,1894,2016,95,8
242,187,605,95,13
243,2023,2099,50,22
244,4853,4863,70,38
245,693,885,65,25
246,3046,3034,55,46
247,895,1266,85,29
248,4694,4646,90,28
249,190,156,75,18
250,883,770,60,32
251,2172,2046,85,40
252,168,7,50,32
253,641,966,90,2
254,2122,1765,85,37
255,705,934,60,43
256,4637,4906,70,37
257,4951,4664,85,13
258,1860,2104,90,4
259,4638,4631,80,24
260,617,728,70,33
261,3055,3088,80,10
262,929,730,75,47
263,2079,2149,75,8
264,2680,2409,85,37
265,935,920,65,13
266,4972,4606,55,24
267,127,23,80,39
268,2155,2198,60,14
269,4970,4627,85,25
270,1869,1751,100,27
271,3047,2606,95,35
272,785,851,65,42
273,2141,1811,85,9
274,2099,2453,55,9
275,721,770,70,45
276,954,918,90,8
277,4925,4647,50,8
278,908,913,60,19
279,649,724,50,22
280,7,260,85,10
281,3871,3826,50,50
282,771,688,70,33
283,875,729,80,33
284,86,286,50,12
285,2006,1830,90,24
286,3081,3092,80,46
287,928,648,100,30
288,1202,989,90,28
289,766,888,50,2
290,4295,4614,65,42
291,2637,3052,95,2
292,3055,3059,60,14
293,4601,4978,55,20
294,1751,1803,85,20
295,2039,1875,85,28
296,4802,4634,90,28
297,3092,3090,65,21
298,4229,3883,55,42
299,4973,4874,60,17
300,817,922,100,9
301,1833,2168,60,9
302,652,222,90,25
303,4946,4662,80,33
304,983,663,75,50
305,1234,942,75,17
306,614,636,100,14
307,226,166,80,9
308,1727,2019,60,20
309,1802,1781,100,47
310,279,167,90,50
311,296,11,90,2
312,2129,2103,85,8
313,722,879,90,32
314,2606,2444,80,27
315,1756,1799,100,11
316,111,14,70,30
317,2432,2157,55,24
318,26,274,100,11
319,2406,2071,55,9
320,274,74,75,14
321,2635,2683,50,31
322,285,52,80,15
323,2011,1875,95,38
324,287,648,90,26
325,678,670,80,13
326,121,5,60,19
327,2107,2074,65,46
328,173,28,90,11
329,94,89,75,20
330,828,783,90,17
331,764,966,90,43
332,2099,1815,85,23
333,956,803,90,37
334,631,824,80,7
335,1754,2085,75,14
336,2179,2024,80,24
337,2438,2441,65,31
338,1725,2004,100,39
339,994,1273,95,43
340,2087,1787,95,4
341,2122,2055,75,17
342,1816,1806,70,18
343,624,825,80,6
344,2050,2115,50,48
345,187,76,95,44
346,4931,4684,85,4
347,290,172,55,45
348,4926,4614,75,2
349,56,278,90,10
350,1269,1290,50,27
351,2688,2456,60,2
352,712,760,70,4
353,116,185,70,5
354,1228,1273,90,48
355,3032,2641,80,29
356,767,699,100,40
357,285,283,70,16
